Episode,TotalReward,AvgReward,Steps
1,-142.0,-142.0,612
1,-144.5,-144.5,613
1,-147.5,-147.5,614
1,-150.5,-150.5,615
1,-153.5,-153.5,616
1,-156.5,-156.5,617
1,-159.5,-159.5,618
1,-162.5,-162.5,619
1,-165.5,-165.5,620
1,-168.5,-168.5,621
1,-171.5,-171.5,622
1,-174.5,-174.5,623
1,-178.0,-178.0,624
1,-180.5,-180.5,625
1,-183.5,-183.5,626
1,-186.5,-186.5,627
1,-189.5,-189.5,628
1,-192.5,-192.5,629
1,-195.5,-195.5,630
1,-198.5,-198.5,631
1,-201.5,-201.5,632
1,-204.5,-204.5,633
1,-207.5,-207.5,634
1,-210.5,-210.5,635
1,-214.0,-214.0,636
1,-216.5,-216.5,637
1,-219.5,-219.5,638
1,-222.5,-222.5,639
1,-225.5,-225.5,640
1,-228.5,-228.5,641
1,-231.5,-231.5,642
1,-234.5,-234.5,643
1,-237.5,-237.5,644
1,-240.5,-240.5,645
1,-243.5,-243.5,646
1,-246.5,-246.5,647
1,-250.0,-250.0,648
1,-252.5,-252.5,649
1,-255.5,-255.5,650
1,-258.5,-258.5,651
1,-261.5,-261.5,652
1,-264.5,-264.5,653
1,-267.5,-267.5,654
1,-270.5,-270.5,655
1,-273.5,-273.5,656
1,-276.5,-276.5,657
1,-279.5,-279.5,658
1,-282.5,-282.5,659
1,-285.5,-285.5,660
1,-289.0,-289.0,661
1,-291.5,-291.5,662
1,-294.5,-294.5,663
1,-297.5,-297.5,664
1,-300.5,-300.5,665
1,-303.5,-303.5,666
1,-306.5,-306.5,667
1,-309.5,-309.5,668
1,-312.5,-312.5,669
1,-315.5,-315.5,670
1,-318.5,-318.5,671
1,-321.5,-321.5,672
1,-324.5,-324.5,673
1,-327.5,-327.5,674
1,-331.0,-331.0,675
1,-333.5,-333.5,676
1,-336.5,-336.5,677
1,-339.5,-339.5,678
1,-342.5,-342.5,679
1,-345.5,-345.5,680
1,-348.5,-348.5,681
1,-351.5,-351.5,682
1,-354.5,-354.5,683
1,-357.5,-357.5,684
1,-360.5,-360.5,685
1,-343.5,-343.5,686
1,-327.75,-327.75,687
1,-330.75,-330.75,688
1,-333.75,-333.75,689
1,-336.75,-336.75,690
1,-339.75,-339.75,691
1,-342.75,-342.75,692
1,-345.75,-345.75,693
1,-348.75,-348.75,694
1,-351.75,-351.75,695
1,-354.75,-354.75,696
1,-358.25,-358.25,697
1,-360.75,-360.75,698
1,-363.75,-363.75,699
1,-366.75,-366.75,700
1,-369.75,-369.75,701
1,-372.75,-372.75,702
1,-375.75,-375.75,703
1,-378.75,-378.75,704
1,-381.75,-381.75,705
1,-384.75,-384.75,706
1,-387.75,-387.75,707
1,-391.25,-391.25,708
1,-393.75,-393.75,709
1,-396.75,-396.75,710
1,-399.75,-399.75,711
1,-402.75,-402.75,712
1,-405.75,-405.75,713
1,-408.75,-408.75,714
1,-411.75,-411.75,715
1,-414.75,-414.75,716
1,-417.75,-417.75,717
1,-420.75,-420.75,718
1,-423.75,-423.75,719
1,-427.25,-427.25,720
1,-429.75,-429.75,721
1,-432.75,-432.75,722
1,-435.75,-435.75,723
1,-438.75,-438.75,724
1,-441.75,-441.75,725
1,-444.75,-444.75,726
1,-447.75,-447.75,727
1,-450.75,-450.75,728
1,-453.75,-453.75,729
1,-456.75,-456.75,730
1,-459.75,-459.75,731
1,-463.25,-463.25,732
1,-465.75,-465.75,733
1,-468.75,-468.75,734
1,-471.75,-471.75,735
1,-474.75,-474.75,736
1,-477.75,-477.75,737
1,-480.75,-480.75,738
1,-483.75,-483.75,739
1,-486.75,-486.75,740
1,-489.75,-489.75,741
1,-492.75,-492.75,742
1,-495.75,-495.75,743
1,-499.25,-499.25,744
1,-501.75,-501.75,745
1,-489.25,-489.25,746
1,-477.25,-477.25,747
1,-480.0,-480.0,748
1,-432.0,-432.0,749
1,-435.5,-435.5,750
1,-438.5,-438.5,751
1,-441.5,-441.5,752
1,-444.5,-444.5,753
1,-447.5,-447.5,754
1,-450.5,-450.5,755
1,-454.0,-454.0,756
1,-456.5,-456.5,757
1,-459.5,-459.5,758
1,-462.5,-462.5,759
1,-465.5,-465.5,760
1,-468.5,-468.5,761
1,-471.5,-471.5,762
1,-474.5,-474.5,763
1,-477.5,-477.5,764
1,-480.5,-480.5,765
1,-483.5,-483.5,766
1,-486.5,-486.5,767
1,-490.0,-490.0,768
1,-492.5,-492.5,769
1,-495.5,-495.5,770
1,-498.5,-498.5,771
1,-501.5,-501.5,772
1,-504.5,-504.5,773
1,-507.5,-507.5,774
1,-510.5,-510.5,775
1,-513.5,-513.5,776
1,-516.5,-516.5,777
1,-519.5,-519.5,778
1,-522.5,-522.5,779
1,-526.0,-526.0,780
1,-528.5,-528.5,781
1,-531.5,-531.5,782
1,-534.5,-534.5,783
1,-537.5,-537.5,784
1,-540.5,-540.5,785
1,-543.5,-543.5,786
1,-546.5,-546.5,787
1,-549.5,-549.5,788
1,-552.5,-552.5,789
1,-555.5,-555.5,790
1,-558.5,-558.5,791
1,-562.0,-562.0,792
1,-564.5,-564.5,793
1,-567.5,-567.5,794
1,-570.5,-570.5,795
1,-573.5,-573.5,796
1,-576.5,-576.5,797
1,-579.5,-579.5,798
1,-582.5,-582.5,799
1,-585.5,-585.5,800
1,-588.5,-588.5,801
1,-591.5,-591.5,802
1,-594.5,-594.5,803
1,-597.5,-597.5,804
1,-600.5,-600.5,805
1,-603.5,-603.5,806
1,-606.5,-606.5,807
1,-609.5,-609.5,808
1,-613.0,-613.0,809
1,-615.5,-615.5,810
1,-618.5,-618.5,811
1,-621.5,-621.5,812
1,-624.5,-624.5,813
1,-627.5,-627.5,814
1,-630.5,-630.5,815
1,-633.5,-633.5,816
1,-636.5,-636.5,817
1,-640.0,-640.0,818
1,-642.5,-642.5,819
